ID	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18
Class	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00001_Glycolysis - EM pathway	0.0245028675851729	0.0237273386511965	0.0238743998961983	0.0239814267747653	0.0221195669771508	0.021155253741054	0.0221596849624672	0.0221247890822083	0.0204449831424671	0.0232776924967466	0.0232159873731229	0.0234120092360396	0.0228491406003266	0.0227580510327523	0.0222845332297547	0.0221274329418371	0.0245015697672914	0.0225828674350225
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00002_Glycolysis - core	0.0161185728455551	0.0158979937152526	0.0161611592129303	0.0173204641345039	0.0164078099534813	0.0139539789362394	0.0149098148716247	0.0148203973514851	0.0146284376828555	0.0163296387173196	0.0155197783928478	0.0160637143663338	0.0155223551810679	0.0151209539270003	0.0159408127333709	0.0153987019164437	0.0166786157059553	0.0156659570901701
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00003_Gluconeogenesis	0.0247052312541488	0.0237466763355088	0.0233729252802822	0.0191493482455216	0.017623123333801	0.0191474869876383	0.0221002084807202	0.0222547274357408	0.0211067457995486	0.0221535944947401	0.0228270831959281	0.0229718666417617	0.0221129779297307	0.0227468383290081	0.022429127529337	0.0230449871725726	0.0245455698397621	0.023626785232001
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00004_Pentose phosphate pathway	0.0095831461724905	0.00889050036258158	0.00963848239052599	0.0091272594441271	0.0115595082621882	0.0103527061646064	0.0113819204016854	0.0108238648492622	0.0123700855415308	0.00892831961450288	0.00956795247636441	0.00905322645386153	0.00854510654128299	0.0101462510325031	0.00919733152637712	0.0103806161603395	0.00988836922790226	0.01010798235361
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00005_PRPP biosynthesis	0.000453785197097614	0.00131496253323664	0.000838128903523999	0.000446188884993589	0.000848344864059751	0.000452382888744307	0.000622937887771009	0.000451071712977315	0.000430494023238318	0.00132756376939472	0.000900620199819421	0.00125286639138711	0.00210508806416192	0.000535718067777057	0.00205975997346269	0.000456365037999867	0.000649648128832212	0.000696544375943424
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00006_Pentose phosphate pathway - glucose  => ribulose	0.00349690552222858	0.00305051970026589	0.00288786256088708	0.00272861664284541	0.00304368004662659	0.00381475683148992	0.00417587508686697	0.00397240109370968	0.0045696452952158	0.00275988219130617	0.00364114378765377	0.00327275328566943	0.00306153757969944	0.00459970024705324	0.00282809438889062	0.00507597561293298	0.0040635361046477	0.00459584473082155
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00007_Pentose phosphate pathway, non-oxidative phase	0.00340338897823211	0.00293932801547015	0.00380138799757328	0.00294680791078184	0.00523685659086248	0.00378934206245934	0.00424474259204768	0.00390000686817012	0.00484828220346067	0.00270347583995101	0.00280875239085097	0.00256534577522722	0.00232762273405196	0.00293648252500121	0.00326896524349964	0.00355733170212581	0.003478593964743	0.00356720597176703
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00008_Entner-Doudoroff pathway	0.00168636390813303	0.0014841672709693	0.00138168530539103	0.00165972458868494	0.0018866499012423	0.00213102838321405	0.00193768116849374	0.00185626219332228	0.00209813591908384	0.00162772613910612	0.00207415561170533	0.00192947385572861	0.00144984709170789	0.00217651038234074	0.00137931621072209	0.00276809998736071	0.00238376863208951	0.00260103151481325
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00009_Citrate cycle	0.0251620825674431	0.0236596567561035	0.0232624605921609	0.0215960323511457	0.0200235291578073	0.0249839886955107	0.0244980497974669	0.0253918105424555	0.0249672601632812	0.0233683455614245	0.0240370073027562	0.0233434542947187	0.022763723252288	0.0233560618991081	0.0202346963944986	0.0243889966819464	0.0242880400038306	0.0240438130906303
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00010_Citrate cycle - first carbon oxidation	0.00898525351415243	0.0102417210539038	0.0094368404995108	0.00797011024787999	0.00944404269786619	0.00922937337345478	0.0093065042228302	0.00897688396690656	0.00901251079718019	0.00929697541085983	0.00821474788320139	0.00903832320574828	0.010030918832165	0.00788751415603848	0.0100535565944924	0.00876741881671203	0.00830307249917823	0.00836437449640965
Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|M00011_Citrate cycle - second carbon oxidation	0.0161768290532906	0.0134179357021997	0.0138256200926501	0.0136259221032658	0.0105794864599411	0.015754615322056	0.0151915455746367	0.0164149265755489	0.015954749366101	0.0140713701505647	0.0158222594195548	0.0143051310889704	0.012732804420123	0.0154685477430696	0.0101811398000062	0.0156215778652343	0.0159849675046524	0.0156794385942207
Pathway module|Carbohydrate and lipid metabolism|Other carbohydrate metabolism|M00012_Glyoxylate cycle	0.0085238030265633	0.00923132704858593	0.00836200155001245	0.00806572215180719	0.00918500609815328	0.00927257848080677	0.00883069236885436	0.00871329473545479	0.00892195380200061	0.00806207921869145	0.00751426550556406	0.0079613151420975	0.00909245191621457	0.00796101965836138	0.00850129426074038	0.00867865436957464	0.00815683696420206	0.00833291765362511
Pathway module|Carbohydrate and lipid metabolism|Other carbohydrate metabolism|M00013_Malonate semialdehyde pathway	0.000127243822159128	0.000386753686246072	0.000156053289568276	2.45158728018456e-06	0.000146787406503977	0.000100388337670787	5.94764817469808e-05	1.67063597399005e-05	1.53250299534676e-05	9.87111148715345e-05	0.000231977930256518	0.00012816793377394	0.000369767204009221	0.000120848029242731	0.000103484155583466	4.34173926215518e-05	3.4941234020856e-05	0.000134365657036828
Pathway module|Carbohydrate and lipid metabolism|Other carbohydrate metabolism|M00014_Glucuronate pathway	0.0104554562304248	0.00911771815325115	0.00782545877913725	0.00522923566863366	0.00739765356013427	0.00740586369551074	0.00751281874698705	0.00758654358410817	0.00655911282008415	0.00906530646779399	0.0121492755238266	0.0102246217555629	0.0092318170630144	0.010761703882461	0.00631678626410858	0.00787205569776092	0.00717589417206099	0.00735191354221576
Pathway module|Nucleotide and amino acid metabolism|Arginine and proline metabolism|M00015_Proline biosynthesis	0.0015069961106316	0.00147933284989123	0.00131856262646453	0.00264035950075877	0.00292063766176296	0.00261772121014964	0.00178116411126485	0.00185997471770893	0.00154504165621778	0.00213336878875419	0.00220151604400303	0.00220071297138974	0.00204102505313296	0.00153115698906512	0.00154375678671774	0.0024207608463883	0.00189459135579753	0.00216018633236132
Pathway module|Nucleotide and amino acid metabolism|Lysine metabolism|M00016_Lysine biosynthesis, from aspartate	0.0114105514256674	0.0114720812182741	0.0105046658180173	0.00857320071880539	0.00668530291092379	0.0103743087182824	0.0123804992268057	0.0125539012134386	0.0123519741424949	0.0119883641755204	0.0135843546806096	0.0126985609423622	0.0127586544070294	0.0128833966020524	0.0110898157414994	0.01257078241036	0.0121129611272301	0.0126865446950057
Pathway module|Nucleotide and amino acid metabolism|Cysteine and methionine metabolism|M00017_Methionine biosynthesis	0.0154424942242036	0.0137950205462896	0.013744963336244	0.0129860578231376	0.0115379218788788	0.0156402488614183	0.0165407226079498	0.0167917478007934	0.0167976260135418	0.0164928142337399	0.018303513555926	0.0173424130544505	0.0162866156635186	0.0178668204883506	0.0146848269546456	0.0168430538443207	0.016336968084418	0.0170810656320062
Pathway module|Nucleotide and amino acid metabolism|Serine and threonine metabolism|M00018_Threonine biosynthesis	0.0134955104393591	0.0125912496978487	0.0120616918982042	0.00951706182167644	0.00847265544894281	0.0125904765777489	0.0141554026557814	0.0145586643822267	0.0141059934798963	0.0157716187414131	0.0169844233642713	0.016330979282498	0.0150536836793298	0.0161624895192366	0.0128334528835222	0.0136851621543131	0.0131896687829839	0.0136900179798326
