#OTUId	16-TM29-FDA	13-TM42-FDA	23-T26-FDA	16-T26-FDA	20-TM30-FDA	18-TM36-FDA	23-T80-FDA	15-T52-FDA	26-S0-FDA	08-TM36-FDA	29-T13-FDA	18-T52-FDA	16-TM54-FDA	CONTROL5	19-S0-FDA	14-T52-FDA	19-T13-FDA	03-TM60-FDA	CONTROL3	27-T26-FDA	16-T106-FDA	23-TM42-FDA	35-T52-FDA	30-T80-FDA	27-T52-FDA	28-T52-FDA	20-T106-FDA	16-T80-FDA	22-T26-FDA	02-TM54-FDA	14-TM60-FDA	13-TM60-FDA	28-T26-FDA	26-T80-FDA	06-TM30-FDA	14-TM48-FDA	26-T13-FDA	13-TM30-FDA	15-T26-FDA	18-S0-FDA	13-TM48-FDA	33-T0-FDA	30-T26-FDA	27-T13-FDA	31-T0-FDA	28-T0-FDA	33-T13-FDA	33-T26-FDA	26-T26-FDA	07-T106-FDA	31-T80-FDA	14-TM42-FDA	22-S0-FDA	34-S0-FDA	13-T52-FDA	19-T80-FDA	08-TM48-FDA	03-TM48-FDA	31-T52-FDA	30-T13-FDA	16-T52-FDA	06-TM42-FDA	16-TM48-FDA	21-S0-FDA	07-TM54-FDA	05-TM36-FDA	14-T80-FDA	35-T13-FDA	28-T6-FDA	13-TM54-FDA	19-T26-FDA	02-TM60-FDA	12-T80-FDA	01-TM48-FDA	31-T8-FDA	16-S0-FDA	10-T106-FDA	26-T106-FDA	20-T52-FDA	30-T0-FDA	35-T80-FDA	06-TM36-FDA	10-TM36-FDA	15-T13-FDA	14-TM30-FDA	13-TM36-FDA	22-TM30-FDA	30-T52-FDA	22-TM36-FDA	22-T13-FDA	28-T106-FDA	16-TM42-FDA	14-TM54-FDA	JR-F-DA	31-T26-FDA	20-T6-FDA	14-TM36-FDA	28-S0-FDA	02-TM46-FDA	22-T52-FDA	01-TM60-FDA	19-T6-FDA	03-TM54-FDA	16-T6-FDA	23-T52-FDA	27-T39-FDA	35-T26-FDA	20-T26-FDA	11-T80-FDA	NP-F-DA	20-S0-FDA	14-T26-FDA	27-T80-FDA	07-TM60-FDA	CONTROL4	29-T0-FDA	16-T13-FDA	25-T26-FDA	13-T106-FDA	16-TM36-FDA	19-T106-FDA	18-T13-FDA	14-T106-FDA	27-T0-FDA	19-T52-FDA	26-TM30-FDA	22-T106-FDA	06-T106-FDA	20-T80-FDA	21-T6-FDA	20-T13-FDA	21-T13-FDA	22-T6-FDA	29-T26-FDA	05-TM48-FDA	CONTROL2	CONTROL1	CONTROL6	18-T26-FDA	08-TM42-FDA	08-T106-FDA	taxonomy
OTU_2	1689	14	12	56	66	15	361	185	1003	5045	2	20	25	3	521	3	11	172	194	17	44	66	265	693	753	93	310	41	171	5	89	106	1247	3	283	2238	76	44	132	1507	31	7	2	70	2	2556	28	58	33	465	64	116	2351	1	35	67	185	94	8	7	75	375	5	483	2	45	9	9	6802	76	241	248	692	15	10	49	653	13	60	1356	25	409	1189	402	2	123	60	933	315	1031	28	5	283	1	546	1034	137	3963	39	8	7	168	160	22	119	240	380	975	73	2	655	13	1072	257	4	15	42	6443	12	26	75	1296	15	1456	33	132	28	3618	1449	1768	461	7187	814	36	1	1	2	0	5591	216	5007	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;
OTU_2209	535	0	0	0	3	1	51	12	1	548	0	0	1	0	23	1	0	0	0	1	0	11	20	50	0	0	23	1	0	0	0	5	0	0	23	0	2	9	1	60	0	0	0	3	0	2	4	7	0	41	0	0	0	0	0	7	11	1	1	0	1	48	1	2	0	7	0	0	2	0	3	0	12	3	0	1	31	0	1	0	0	8	61	8	0	23	1	1	27	14	0	0	0	0	0	300	0	0	0	0	1	10	10	1	13	6	0	287	0	0	34	0	0	4	0	0	0	332	1	0	0	0	0	2	3	16	1	646	43	147	213	592	89	0	0	0	0	0	0	17	254	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;
OTU_120	2987	0	0	0	0	0	2	24	1	0	0	1	0	0	132	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	1	0	0	0	0	0	0	0	30	0	0	1	1	0	4	0	0	0	1	1	0	0	0	1	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	1	0	0	0	1	26	0	0	0	0	0	21	1	1	0	0	674	0	1	0	18	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	1491	0	0	0	0	0	0	2	5	0	8	224	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus;
OTU_36	1051	0	4	0	0	964	1	47	4	0	0	1	22	0	372	31	2	1	0	0	23	2	0	5435	4	0	3	1	17	338	3	1	8	13	128	13	4	2	0	828	4	88	202	16	3	3	1	0	15	363	1	1	1448	33	1	1	0	18	31	24	0	80	5	161	0	2	1	0	905	8	3	3	9	1	28	181	1159	20	0	825	3	57	269	10	1	1	0	862	0	196	1	44	3	6	39	2	4	2	120	0	0	8	2	218	4	1	0	6	0	0	3	322	0	0	0	0	3	43	0	3	0	718	21	1	5	11	1	197	2	2521	1	13	388	10	1	15	14	8	9	1	3	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;
OTU_3339	89	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus;
OTU_68	342	2	11	0	11	3160	2	146	13	2	8	2	74	13	52	24	2	1	13	3	24	5	1	4	0	1	2	3	2	9	2	2	7	354	297	5	1	1	2	159	0	3	13	7	72	2	0	9	24	41	8	7	0	122	8	38	0	11	8	18	0	68	1	1040	0	7	0	0	4	7	32	0	2	0	22	84	4	532	3	0	2	331	0	19	2	2	2	9	0	30	1	22	6	0	30	3	6	4	2	11	1	1	1	213	1	1	0	12	15	7	3	14	2	0	8	0	3	0	2	44	4	48	20	46	15	8	2	233	6	13	24	83	86	0	0	39	0	22	5	0	2	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
OTU_2303	72	0	0	6	10	0	28	10	93	427	0	1	4	0	33	1	0	19	20	1	4	2	20	70	67	8	19	2	14	1	6	7	110	1	24	219	3	4	9	137	1	0	0	1	0	232	0	4	4	42	4	13	240	0	7	4	6	5	0	0	9	28	1	44	0	5	0	1	747	5	19	30	70	0	0	1	57	0	2	139	2	21	110	30	0	8	5	82	26	78	4	0	31	0	50	67	11	373	11	0	0	17	16	0	13	22	32	25	9	1	46	0	87	18	0	0	1	495	1	3	2	114	2	135	2	16	0	283	137	183	20	753	49	2	0	0	0	0	654	11	435	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;
OTU_221	570	1	0	0	0	0	30	0	0	4	0	0	0	0	437	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	54	1	0	0	86	0	0	0	4	0	0	0	0	0	38	0	0	0	88	0	7	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	10	0	0	0	2	67	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	44	2	0	0	0	0	0	2	27	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Morganella;
OTU_3540	30	0	0	2	2	1	12	6	31	144	0	0	2	0	20	0	0	6	7	1	3	4	5	33	34	4	15	0	4	0	4	3	60	0	11	82	2	5	4	64	1	1	0	3	0	95	0	4	4	15	2	4	87	0	0	3	3	4	0	0	2	17	1	24	0	1	0	1	284	0	4	11	29	0	0	3	20	0	2	47	0	13	56	14	0	6	1	37	8	38	0	0	11	1	25	15	3	119	0	0	0	2	2	0	5	13	17	19	1	0	7	0	47	11	0	1	2	198	1	0	1	43	0	49	3	1	2	137	52	57	2	304	13	1	0	0	0	0	207	8	171	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;
OTU_2345	62	0	1	2	0	1	0	0	0	0	0	0	0	0	39	1	0	0	0	0	0	0	0	516	0	0	0	0	0	6	0	0	1	0	3	0	0	0	0	5	0	2	27	3	0	0	0	0	0	33	0	0	0	0	0	0	0	1	1	1	0	0	0	88	0	0	0	0	103	0	0	0	0	0	0	2	281	1	0	180	0	3	62	0	0	0	0	58	0	6	0	0	0	1	1	0	0	0	3	0	0	4	0	2	0	0	0	0	1	0	0	17	0	0	0	0	0	1	0	0	0	17	0	0	1	1	0	6	0	70	0	0	18	0	0	2	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;
