Modules	16-TM29-FDA	13-TM42-FDA	23-T26-FDA	16-T26-FDA	20-TM30-FDA	18-TM36-FDA	23-T80-FDA	15-T52-FDA	08-TM36-FDA	29-T13-FDA	18-T52-FDA	16-TM54-FDA	14-T52-FDA	19-T13-FDA	03-TM60-FDA	27-T26-FDA	16-T106-FDA	23-TM42-FDA	35-T52-FDA	30-T80-FDA	27-T52-FDA	28-T52-FDA	20-T106-FDA	16-T80-FDA	22-T26-FDA	02-TM54-FDA	14-TM60-FDA	13-TM60-FDA	28-T26-FDA	26-T80-FDA	06-TM30-FDA	14-TM48-FDA	26-T13-FDA	13-TM30-FDA	15-T26-FDA	13-TM48-FDA	30-T26-FDA	27-T13-FDA	33-T13-FDA	33-T26-FDA	26-T26-FDA	07-T106-FDA	31-T80-FDA	14-TM42-FDA	13-T52-FDA	19-T80-FDA	08-TM48-FDA	03-TM48-FDA	31-T52-FDA	30-T13-FDA	16-T52-FDA	06-TM42-FDA	16-TM48-FDA	07-TM54-FDA	05-TM36-FDA	14-T80-FDA	35-T13-FDA	28-T6-FDA	13-TM54-FDA	19-T26-FDA	02-TM60-FDA	12-T80-FDA	01-TM48-FDA	31-T8-FDA	10-T106-FDA	26-T106-FDA	20-T52-FDA	35-T80-FDA	06-TM36-FDA	10-TM36-FDA	15-T13-FDA	14-TM30-FDA	13-TM36-FDA	22-TM30-FDA	30-T52-FDA	22-TM36-FDA	22-T13-FDA	28-T106-FDA	16-TM42-FDA	14-TM54-FDA	31-T26-FDA	20-T6-FDA	14-TM36-FDA	02-TM46-FDA	22-T52-FDA	01-TM60-FDA	19-T6-FDA	03-TM54-FDA	16-T6-FDA	23-T52-FDA	27-T39-FDA	35-T26-FDA	20-T26-FDA	11-T80-FDA	14-T26-FDA	27-T80-FDA	07-TM60-FDA	16-T13-FDA	25-T26-FDA	13-T106-FDA	16-TM36-FDA	19-T106-FDA	18-T13-FDA	14-T106-FDA	19-T52-FDA	26-TM30-FDA	22-T106-FDA	06-T106-FDA	20-T80-FDA	21-T6-FDA	20-T13-FDA	21-T13-FDA	22-T6-FDA	29-T26-FDA	05-TM48-FDA	18-T26-FDA	08-TM42-FDA	08-T106-FDA
Condition	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Active post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Inactive post-HSCT	Active post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Active post-HSCT	Inactive post-HSCT	Inactive post-HSCT
M00001_Glycolysis - EM pathway	0.0113165467439348	0.0174307393201749	0.0204257619159835	0.0198983374987664	0.0179242118963001	0.0165461572191709	0.0177602243718066	0.0184845461271809	0.0171810751432749	0.0180986350459159	0.0178548041905595	0.0173386989747841	0.0185186495935631	0.0167390994492498	0.0173343435039916	0.0178948622271918	0.017259649251823	0.0175631903259089	0.0171170169652132	0.0148086008023554	0.0180987642559822	0.0178708691606634	0.0184401317146925	0.0180547611091318	0.0185062932247543	0.0160693613926562	0.0180435414191794	0.0170559704775467	0.0202127067162316	0.0162429807126821	0.0172521321772864	0.0193172332597652	0.0182378920911995	0.0174011965153931	0.0174750631181332	0.0172346861517759	0.0213712896701603	0.0173962970865707	0.0167275962181671	0.0175634238476768	0.0202867164954138	0.0166090545281692	0.0165587452124701	0.0207887141172654	0.0169524591154873	0.0183310500808031	0.0187592606902704	0.0182001164367546	0.0165178247789588	0.0192656371095286	0.0181477465817757	0.0171640323145221	0.0179700494937087	0.0182940526771948	0.0175144262305471	0.0179997835934427	0.0173417823855953	0.0128125934102189	0.0181005878583678	0.0178361659278204	0.0181799169230323	0.0170191926309656	0.0155974870107374	0.0178683616899461	0.016486629183907	0.019549322396702	0.0171973907321594	0.0173874839353312	0.017743709052196	0.0174679129643527	0.0182964207733809	0.0181196238214026	0.0175237513683203	0.0155475545279747	0.0150866763254121	0.0166662141478872	0.0170022579105797	0.0185465424521989	0.0172531250133713	0.0189037719670834	0.0168984616800546	0.017600900592262	0.0197463454205837	0.0171493649058602	0.0175279946024038	0.0191306007334949	0.0176707077799185	0.0175412639785731	0.0159272729465985	0.0177261541469406	0.0173565692625358	0.0180079550693264	0.0168877604006837	0.0181138548899743	0.0182394546074581	0.0176032975188969	0.018115140205767	0.0231582250723569	0.0120173595587711	0.0167806387223955	0.0164914506161462	0.0169744092356593	0.0144437970189736	0.0184696074116057	0.016937268846254	0.0173650738362983	0.0163842378356821	0.015768872876675	0.0172321957819567	0.0158836734608491	0.0172873137414828	0.0150220248161081	0.0179556735744043	0.0177887233340567	0.0182185224274976	0.0140172089257254	0.0176967387416183	0.0237630022041841
M00002_Glycolysis - core	0.00733213494081222	0.00923830066979058	0.0102646085628479	0.00969878363724958	0.00961437580962644	0.0120848594735867	0.00947969464338412	0.0089667995420934	0.00882384472163363	0.00963164433542232	0.0109958311413221	0.00911581476820054	0.00969553572378524	0.00900018505495109	0.00911753788481501	0.00946733323950668	0.00935455817571122	0.009258392337217	0.00935649771921644	0.00971209568995316	0.00941212506471201	0.00929958116639018	0.0093203285090168	0.00961669275844817	0.00886419165827187	0.00894291219394927	0.0101575916947843	0.00920372633600598	0.00784116193092867	0.00885827369284561	0.00936585094193789	0.00976088397523476	0.00958171286922985	0.00939284867462633	0.00987527006455374	0.00934639520045526	0.01642027254072	0.0089940263686127	0.00871927144529287	0.00903219511034174	0.0101582864934094	0.00966867008624106	0.00876860664315056	0.00980122283400149	0.00944028406844764	0.00995447899868345	0.00882155597557312	0.0095991246647771	0.00854036484908564	0.0124352998247712	0.00953087098611605	0.00919347632099909	0.00922550152582899	0.0094463062007831	0.00948074796276394	0.00986834796109963	0.009161099703545	0.00711937755893244	0.00928762114086052	0.00940371437710029	0.00948963056102038	0.00901027304565972	0.00860953231236516	0.00939296440679832	0.00845145889613159	0.00966832773827568	0.00933715480351149	0.00935735224549853	0.00959613966221593	0.00907121545812355	0.00937887477380104	0.00970623773093477	0.00933835187971705	0.00890256740525695	0.0102752091347827	0.0095003015507373	0.00878091508526564	0.00950823892121058	0.00910731665361472	0.00994839241427253	0.00888211220399289	0.00901220591123155	0.00947628898993684	0.00925419172615017	0.00965621757619569	0.00962144396922817	0.00914855524943047	0.0093803735464777	0.00957049632003571	0.00944440541532099	0.00948968320743445	0.00945254160981025	0.00891195049941395	0.00976471020486565	0.00990747218224439	0.00924537108929996	0.00961854180203856	0.0104782272664656	0.00710319964554669	0.00927613423524397	0.00890772947095986	0.00923235638051105	0.00824394286647319	0.00983544114483216	0.00994452530711131	0.00935079667287508	0.00833960854703092	0.00864284055210442	0.00891014066337413	0.00893110977167016	0.00907234951321481	0.0102234740337195	0.00757358011753692	0.00931395041029556	0.00948232516707973	0.00801286141829845	0.00887209110620363	0.0104457510467667
M00003_Gluconeogenesis	0.00951996451267548	0.0122009877182508	0.0131106450188682	0.0126235902315013	0.0121286337660947	0.013639209581688	0.0124553310904874	0.0119297337144726	0.0122549084429375	0.0127603532307237	0.0144102134787044	0.0121461136961024	0.0125510923250166	0.0121804143689068	0.0125717903454927	0.0125992209711053	0.0120418157450725	0.0120354378373542	0.0122547041014817	0.0123133864669785	0.0132478853555129	0.0127805284106139	0.012356719295189	0.0122573537898415	0.0130977119160839	0.01191069040733	0.0130535691632476	0.0120531167684355	0.0140099765269464	0.0114656878146703	0.0121361374836219	0.0128686857795623	0.0127399847278894	0.0121029643587268	0.0128053712835493	0.0120636551413002	0.0181555673705573	0.0123408221445119	0.0116609827758677	0.0119218247445411	0.0133458436224256	0.0120284030549962	0.0119919253772952	0.0133634963553888	0.0126562963973033	0.0126399365384443	0.0127430397870753	0.012651007476936	0.0120530829606406	0.0168180016881164	0.0123220273722952	0.0117208486460996	0.012506654590217	0.0124547996443529	0.012115577766849	0.0127364950605116	0.0124462857976566	0.0103164127957175	0.0129382348426734	0.0122722864909319	0.0126580832435922	0.0121342279399487	0.0117561812025202	0.0121015210037138	0.0118347131723231	0.0131258546504126	0.0122496591969024	0.0124333909591076	0.0120289107806693	0.0128700820484542	0.0124370297023064	0.0122671979185803	0.0121456631635904	0.0118464042284914	0.0126860515498965	0.0125486860346347	0.0126667778248745	0.013096392059991	0.0122880848209938	0.0126646139079834	0.0118406865309371	0.0121347902893658	0.0130678282225786	0.0118422004662291	0.0126788480296867	0.0130495155681417	0.0122163462114429	0.0126934556512775	0.0123112094620891	0.0122911627973553	0.0125452760123651	0.0125826892593934	0.0119876743902879	0.0122212629981643	0.0131155658976828	0.0128709364310509	0.012428063942357	0.0139901922860837	0.0103215629510382	0.0122166591569043	0.0117232623181895	0.0121629176174288	0.0111508111036614	0.0124792900567183	0.0123602929175956	0.0124424244562969	0.0116181960807829	0.0119124971957413	0.0121296971190504	0.0117990227583576	0.012154189406843	0.0124090903448665	0.0130311563824739	0.0122583285528995	0.01227778479249	0.0103677642485385	0.0123501615432268	0.0143285667167292
M00004_Pentose phosphate pathway	0.00742064307479637	0.00839788721116437	0.00918699084497143	0.00910581281284264	0.00886682850752793	0.00946695790984551	0.0091770933111567	0.00831525627554645	0.00998489060625385	0.00915614035071672	0.00742818555085365	0.00893595102337304	0.00922766180702539	0.00882504349033343	0.00943425695651026	0.00974703706017155	0.00867355637201073	0.00865920386646514	0.00899342535432474	0.00843891110834067	0.0100238949279974	0.00887211124304968	0.00928351939764838	0.0091838271734271	0.011267232220465	0.00830819955662935	0.00900664545673931	0.00733065850269974	0.014002270474658	0.00851457235996676	0.00922367251392783	0.0101839540810295	0.00885415203454133	0.00751373702806771	0.00858404381631065	0.00729345134573944	0.0103478163011139	0.00970960702083764	0.00807940988270142	0.00791681208551516	0.00971411242300121	0.00970674877152147	0.00903832698029897	0.0106514491798469	0.009343509400784	0.00943333263448035	0.0104889753909924	0.0099619654668392	0.00879726397352897	0.0104239033780562	0.00920944961057161	0.00885701829149215	0.008869951843561	0.00913567336621468	0.00879830511190052	0.0085035886007245	0.00983361284794556	0.00791922396805625	0.00969494646603672	0.00931121930883318	0.00967712985793766	0.00924121084988305	0.00868982201290854	0.00903748213742227	0.00943745475185904	0.00984801994169589	0.00938270996297407	0.00929540426045897	0.00878071732827312	0.010467817707354	0.00975860976583151	0.00935983103287749	0.00719897048546353	0.00901044808927328	0.00883514752120211	0.00898106130860333	0.0101302523649429	0.00925493195124725	0.0085838049968991	0.00906712819039475	0.00870751303099785	0.00900523154304862	0.0107790886991626	0.00881087354331961	0.00855731462612613	0.00959782523917225	0.00862795777566469	0.00937474377295163	0.00812357004051403	0.00904875336557824	0.0094098096318228	0.00966631900548667	0.00924093148713232	0.00880852604704411	0.00940310199572124	0.00998511711855311	0.00883605530170687	0.0101967419467039	0.00778284199986473	0.00824434448967215	0.00920465629353787	0.0085749771390518	0.00917873555815041	0.00954601558920854	0.0089917842016111	0.00911708375963079	0.0104661859429018	0.00871866966568801	0.00971385500893554	0.00970066880969245	0.00928488192382207	0.00923382372352151	0.0127752011912806	0.00935918026920812	0.00933606434766873	0.00695172370527882	0.00989442880927227	0.0103395656267373
M00005_PRPP biosynthesis	0.000925630941861759	0.00122423646511724	0.00134793950114182	0.00120773792464921	0.00127401041750315	0.00195471289874893	0.00130514298020397	0.00137203964957936	0.00105724483295274	0.00149271822365825	0.00147833230395054	0.00117825352583701	0.00145041667179849	0.00121095839208992	0.00123002445422385	0.00136689831121803	0.00130679216175942	0.00125962960865606	0.00125180155709723	0.00132340673828836	0.00148322260218912	0.00124239789400291	0.00120072146201998	0.0013298509468701	0.00128513428540219	0.00126940986811344	0.00136465139642514	0.00120924609524689	0.0013172870112303	0.00139680877428375	0.00147647773620586	0.00131694253654078	0.00142742783247147	0.00123839078367204	0.00122952757001441	0.00123589064392553	0.00224985307356509	0.00125942371217439	0.00113692169605197	0.00114622579979892	0.00138478212021492	0.00147410830415844	0.00121914788252383	0.00131569989073914	0.00146964791970493	0.00151311312047983	0.00111418849136417	0.00124786983838137	0.00124441375943399	0.00223866820222173	0.00128337320007772	0.00138919874688912	0.00113132348533918	0.00128102904335682	0.00132674735428994	0.00159167381011103	0.00111182847203305	0.00082391050625247	0.00131535447932897	0.00124573980934681	0.00121580861756473	0.00138685695690636	0.00123770021053075	0.00149162093262408	0.00149654116067092	0.00145871292554756	0.00126362487013112	0.00120125475768807	0.00145301529450791	0.00115635641676734	0.00133115075483268	0.00134763107498061	0.0012136354417662	0.00131065914691782	0.0014135565958442	0.00139948554635575	0.00109806594789364	0.00118874801986126	0.00120102038175804	0.00136270369219203	0.00139477316332393	0.00125780565214124	0.00133650963918919	0.00129427176948216	0.00121131602766486	0.00118025041003997	0.00115219081274244	0.00112065175786872	0.00142718248180891	0.00126318229805562	0.00123227768893064	0.00126832436754476	0.00121851209421483	0.00135639120421473	0.00122400039454159	0.00134255408468935	0.00130701548441806	0.00119652121803128	0.000767524024618036	0.00124699169068405	0.00125181471303601	0.00116087045916311	0.00141681552864104	0.0014604531401082	0.00125658116675505	0.00128689685687386	0.00117083139082391	0.00121480659455364	0.00124475572743282	0.00152803851688302	0.00122119096104135	0.00160029546518233	0.00123920542998429	0.00142745581529811	0.00130093227312211	0.0015079703816497	0.00106362256438084	0.000989023120883872
M00006_Pentose phosphate pathway - glucose  => ribulose	0.00216622588466398	0.00155768263125233	0.00137731449776938	0.00172770823812452	0.00162185210049708	0.0026122962090931	0.00173468640168311	0.00104423497155346	0.00301583866327337	0.00155450347362372	0.000375169573835456	0.00179106634632126	0.00121270970419382	0.00156929778992256	0.00192594411579368	0.00147946152282905	0.00124670599350133	0.00135913647214361	0.00157898747755581	0.00131879869353727	0.00170456124765563	0.00173095509065041	0.00208352574264437	0.00102522366401157	0.00271713419611975	0.00144791622692929	0.00135736364879458	0.00118525921075475	0.00276394193206226	0.000703540328895556	0.00103629060045113	0.00185872421960598	0.0011388352364589	0.00112055389187122	0.00167609540680259	0.00100442339037014	0.00280472682310874	0.00192543129510789	0.00182258848144518	0.00155232776773621	0.00148704592690159	0.0019682727915748	0.00174830560356943	0.00216043854948338	0.00137808840224256	0.00110587922194558	0.00297960109823861	0.00232078289516646	0.00161341495459025	0.00444474470048337	0.00166268323656565	0.00114340252816118	0.00295345637834117	0.00171394761968964	0.00150430633722427	0.0013393778290166	0.00259770478732156	0.00174579586422702	0.00206320833297823	0.00162026084338047	0.00221766601186005	0.00174513258728267	0.00139075318262917	0.000864127733347845	0.0018785259427823	0.00144958790925815	0.00208363117855764	0.0019529191571114	0.000818986589774886	0.00287393490184896	0.00169232020158413	0.0014749132509422	0.00121130685685461	0.00109576146245553	0.00161309779145845	0.00104664812157311	0.00250818788602015	0.00215434201712197	0.00249577534134762	0.00129180688620073	0.00107349869204843	0.00164184357297728	0.00179800773156013	0.00137733325875268	0.00170746080799769	0.0025467522728722	0.00205317175844712	0.00242869156195216	0.000623034606464104	0.00174471131621354	0.0019519791329215	0.00198377813723785	0.00209505556454107	0.00120537359188828	0.00194170145811286	0.00217479060801932	0.0013920287987419	0.00208396701468821	0.00206203928189389	0.00163964318896189	0.00185820526179364	0.00203438701397781	0.00177595593511266	0.000921178623356056	0.00145923680796909	0.0019631692848247	0.00224507656052096	0.00169605259693067	0.0020616114563539	0.00104051733968373	0.0021919733755077	0.00105716369538882	0.00264992282904114	0.00149276769945495	0.00162380766844812	0.00132861089216954	0.00288609329341417	0.00281327265768514
M00007_Pentose phosphate pathway, non-oxidative phase	0.00437857813990032	0.00550874226345356	0.00611637568622347	0.00560341615110215	0.00588307475363634	0.00543952877572823	0.00613934510104005	0.00595285205406341	0.00571228341952953	0.00640052577850734	0.0056323777714527	0.0057761798330106	0.00665180427614817	0.00607639564810769	0.00621955404121294	0.00700418740944208	0.00616104917628409	0.00594598237503497	0.00614530915807212	0.00582765108334523	0.00710778540298776	0.00567560148083453	0.00584335262393139	0.00688870227849488	0.00751117214818363	0.0055759245996405	0.00629022611348071	0.00497372278751909	0.0103973691018081	0.0065377197023776	0.00696725830089025	0.00686780824013464	0.00611050953895395	0.00513686364273789	0.00565817409490795	0.00504201251770526	0.00616376535040433	0.00658357835921817	0.00506446669991968	0.00497905656832815	0.0065784887543241	0.00645076757734291	0.00607235741632123	0.00696743080587453	0.0067199643837141	0.00706088877840356	0.006327589924467	0.00617541338105843	0.0059942235697174	0.00477081854776756	0.00616850910233951	0.00644919355288093	0.00478090323109486	0.00616433895175843	0.00599889276740814	0.00586214831992707	0.00604924354661249	0.00528770118724201	0.00637992251516319	0.00624161579306539	0.00623310680730945	0.00631169508581068	0.00597827649925829	0.00696590963776942	0.00643043633410186	0.00700239847577549	0.00609681451919171	0.00608025864073261	0.00669423114777748	0.00658482718948996	0.00672426455626585	0.00655836133010919	0.00477726774869295	0.00665175712962762	0.00594351194287622	0.00665245561308938	0.00666421367335367	0.00564182508680923	0.00492507522481979	0.00633895837786923	0.00644313306889677	0.00621145890233619	0.00767248464449192	0.00612447556520745	0.00544119697646348	0.00546451769470527	0.00519636988059341	0.00562170411065793	0.00620428012337715	0.00599810044509244	0.00628452128561637	0.00641294014037186	0.00602515352051751	0.00623371165181344	0.00609114605302407	0.0066625083094071	0.00614459166294148	0.0058092608168492	0.00500709840144344	0.0053508583515064	0.00609669998178456	0.00533901028195462	0.00638730912848721	0.00733716761430181	0.0062897106196184	0.00594780593095335	0.0069557807035822	0.00589837228194195	0.00641633854527074	0.00740764281767376	0.00592777965862959	0.00720915277911846	0.00932983244325193	0.00664252151211833	0.00643045745195794	0.00475657108782759	0.00569870976960864	0.00521379179677436
M00008_Entner-Doudoroff pathway	0.00345526466051809	0.00218795593314757	0.00172317409470006	0.00198198013543391	0.00190875887235257	0.00211241301634005	0.00213927349621283	0.00144669822723299	0.00295233137651839	0.00179687235935607	0.000731697746386597	0.00204299721320754	0.00166379207109487	0.00200624872457106	0.00236432544376369	0.0016089514475047	0.00146731009818244	0.00157188035208505	0.00186348032417855	0.00132003971586764	0.0021661642199732	0.00194048399964951	0.00219844429818186	0.00133778215376235	0.00294409466055599	0.00175675636155119	0.00173463489925663	0.00179722619839703	0.00350005723346858	0.00108595814577067	0.00142563715751721	0.0025515873034546	0.0016816331499894	0.00166985024761031	0.00213005217443798	0.00162298251548221	0.00233348343986205	0.00233811081648542	0.00241995105656332	0.00219110720395579	0.00187434862445065	0.0020488131824569	0.00201681099652405	0.00269724485116024	0.00157698413237598	0.00166470374552395	0.00325203469837827	0.00280649147573078	0.00215830391476681	0.00345565704875184	0.00200365743866789	0.00146520663749225	0.00307106458823382	0.0020866319322208	0.00180148704172882	0.00194104557974842	0.00266077331603844	0.00246088757816503	0.00242828164214458	0.00184597051876959	0.00245719858372444	0.00228983680343191	0.00191517969675831	0.00172255568244407	0.0025832333625611	0.00188451533880593	0.00196991349583626	0.00220082515701264	0.00134812828089415	0.00301366638602845	0.00209247040442334	0.00207185288459897	0.00191344952423858	0.0019064867944485	0.00162260349530947	0.00201531450773055	0.00299664154625624	0.00225387609514378	0.00264443760022787	0.00187638831355656	0.00201207844801229	0.00190527213761426	0.00238583644777913	0.0016768876994014	0.00214945898608735	0.00254599145714296	0.00240495012886478	0.00266503310798723	0.00142067759545332	0.00208146226387607	0.0020283563012263	0.00224789361351107	0.0022634839845205	0.00180959459795582	0.00226867254725243	0.00252493760552052	0.0019625428203909	0.00241950729328787	0.00271062514125633	0.00206527273074925	0.00216348149671629	0.00236437896141824	0.00309359682774261	0.00163786117145192	0.00177807387202953	0.0022708558196702	0.00250273829679155	0.00199706857882506	0.00220017403913418	0.00190940397133339	0.00215316161335121	0.00135530104069991	0.00338961423045595	0.00188746379184183	0.00204164769049536	0.00154467715903831	0.00289395788889555	0.00291272745092419
M00009_Citrate cycle	0.0144053347900003	0.0163470922446507	0.0143267725026021	0.0167524248416825	0.0156250473777752	0.00997161589257708	0.0149283452559439	0.0142703944943422	0.0177421784475208	0.0120520680133976	0.0192965060294024	0.0158051205596633	0.0123871940994164	0.0139147273837734	0.0159721328723018	0.0135146571814707	0.0141681747964252	0.0155283502325465	0.0149220784900104	0.0159883708808542	0.0130164770175119	0.016290667422748	0.0157832749182389	0.011510908899473	0.0127597910082787	0.0140006228713624	0.0157800984269633	0.0169882721511565	0.0086046517592683	0.0127476868140798	0.00988756148318571	0.0136678573079969	0.0144361326357022	0.0160399797743664	0.01663433388675	0.0161520430255858	0.00978020311102065	0.0151628586889629	0.0171546551156439	0.016333745218896	0.0128949015181361	0.0108858778940742	0.0161492999320718	0.0137612001935729	0.0148462147084556	0.0116764932527171	0.016787390294632	0.0150151755120515	0.0142220383920449	0.00352664454950981	0.0143655047875582	0.0119039002016677	0.0184890969713223	0.0146794713803095	0.0148245280205313	0.0127908076266835	0.0176060744370913	0.0141529060388599	0.0150014593375965	0.0150035219067255	0.0149630226934186	0.01339174631783	0.0172010383475211	0.00940577178901607	0.0123328681639548	0.0114702195191476	0.0173719628513487	0.015496225118845	0.0110036254664705	0.015341391066656	0.013897548527257	0.0134857863589775	0.0167941811031599	0.0160579660724228	0.0137735867016851	0.0146676212790331	0.0145842987642372	0.0162835800150638	0.0177869100202125	0.014636503958852	0.0102747971354593	0.0140260757731442	0.0118670569856972	0.013974551957875	0.0165578412481545	0.018029717094517	0.0169279398539008	0.0178463908810522	0.0142783921968027	0.0151680806809599	0.0153239852107901	0.0147117886786138	0.0161084545424976	0.014712440541761	0.0167193921368558	0.0149940217688763	0.0142752754582252	0.015880249171078	0.0154587225084926	0.0167007667505715	0.0156634975585429	0.0162920552667134	0.0115056852954871	0.0105523179936599	0.0155836508450657	0.0155268093633958	0.0172738731035917	0.0144628331158133	0.0162837173019171	0.00945045659782555	0.0171927896926327	0.0111112402757138	0.00998088859330217	0.0128302143981214	0.0138660194689172	0.0107677202285358	0.0179119147563831	0.0186857978443514
