	H2	H3	H4	J2	J3	J4	J5	J6	L1	L2	L3	L4	L5	L6	M1	M2	M3	M4	M5	M6	N1	N2	N3	N4	N5	N6	O1	O2	O3	O4	O6	R1	R2	R3	R4	R5	R6	S1	S2	S3	S4	S5	S6	S7	T1	T2	T3	T4	T5	V1	V2	V3	V4	V5	V6	X1	X2	X3	X4	X5	X6	Z2	Z3	Z4	Z5
OTU_1	53.09485614	2320.280691	128.0823979	1676.368585	350.8616378	173.7925122	1677.821121	311.7587743	0.318851763	0	0	0.766533717	0.887743044	0.954823801	87.89569319	90.79218226	88.27636246	104.1327725	139.2874677	82.67524914	2138.559559	113.5073119	1136.020213	692.6545176	219.5125	1867.451042	0	0	0	0	0.249351276	1.958603255	411.3356728	215.5244319	3.335844995	24.64763528	3.119577211	99.33405095	224.506378	45.35413056	270.9975837	188.0339546	88.02252693	30.90277443	84.00984201	18.29760388	125.2707804	289.8203	228.1555217	138.2566027	35.83861225	40.71422501	11.88461213	1.819180069	18.32282223	146.797715	206.4164022	363.2193051	0	380.3785477	195.1625659	113.2535322	123.5662175	102.0525127	207.8750098
OTU_10	0	0.163262081	0.162747647	0	0	0	0.159777271	0.184037057	674.0526275	1005.590381	153.4976018	229.5768482	499.3554625	37.71554015	143.4847558	361.5758837	195.70703	87.76698212	101.4328464	151.09062	0.144253596	0.166922518	0.334074463	0	0.81984127	0.976870641	227.2710148	131.7714898	147.9256863	92.99951223	438.1101925	4.243640386	14.35235981	8.840802637	9.451560818	24.35421105	4.559382078	67.45819878	354.4237744	176.9076321	38.03474859	328.8616288	118.0378714	170.962123	548.7394457	168.9395208	374.9827332	246.2977976	243.9059029	91.91889047	6.719739797	2.524062467	80.5706793	3.210317769	10.17934568	20.37060803	110.4209725	29.98483667	4.881554878	35.41061555	15.79455185	754.1883452	141.558002	204.7488898	410.9082103
OTU_100	0	0	0	0	0	0	0	0	0	0	0	0.191633429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.947996329	0.862540445	0	0.249351276	0	0.295924944	0	0	0	0	0.741298888	0	0	0	0	0	0.498431846	39.5969956	2.50652108	10.78490162	13.18863709	4.9501198	0	0	0	0	0	0	0	0.262282595	0	0	0	0	30.06730944	5.092014459	23.17911959	24.85462073
OTU_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.013209013	16.29238702	25.71784232	17.14522822	7.650185145	0	0	0	0	0	0	0	0	0	0	0	0	2.756170032	12.56030233	6.116712115	2.90508554
OTU_101	0	0	0	0	0	0	0	0	0.318851763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555974166	0	0	0	0	0	0	0	0.674502122	0.498431846	0	103.5193206	60.00829876	29.67443345	64.35155739	0	0	0	0	0	0	0	0	0	0	0	0	69.65593354	104.5560302	116.8613946	65.84860558
OTU_1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265228834	0	0	0	0	13.91245791	0.751956324	0.276535939	0	1.800043563	0	0	0	0	0	0	0	0	0	0	0	0	7.51682736	8.826158396	1.9315933	0.645574564
OTU_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.202950062	37.60385439	0	0	0	0	0	0	0	0	0	0	0	1.060915335	0.475434357	0	0.337251061	0	17.12302512	23.05999393	7.189934413	24.39897861	18.00043563	0	0	0	0	0	0	0	0.131141297	0.268520925	0	0.190379654	0	5.261779152	9.505093658	27.68617063	1.936723693
OTU_105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147962472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.850144769	38.29325885	4.654362707	0	28.74732768	0.181546573	0	0	0	0
OTU_1061	0	0	0	0	0	0	0	0	20.40651285	7.708955224	1.165804571	3.449401725	2.219357611	3.819295205	0	0	0	0	0	0	0	0	0	0	0	0	4.773058468	5.687977975	3.018891556	1.727545119	2.493512763	0	0	0.238940612	0	0	0	0	0	0	0	0	0	0	18.72830873	12.28195329	13.82679695	6.264602617	3.150076236	0	0	0	0	0	0	0	0	0	0	0	0	6.013461888	51.25961222	44.74857811	9.360831185
OTU_1065	0	0	0	0	0	0	0	0	18.81225403	7.708955224	1.165804571	3.641035154	6.214201311	2.387059503	0	0	0	0	0	0	0	0	0	0	0	0	4.038741781	6.003976751	1.725080889	1.727545119	1.496107658	0	0	0	0	0	0	0	0	0	0.475434357	0	0	0	8.026418026	1.503912648	1.659215634	0.329715927	0.450010891	0	0	0	0	0	0	0	0	0	0	0	0	4.510096416	4.413079198	2.897389949	3.550660105
OTU_1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147962472	0	0	0	0	0	0	0	0	0	0	0	25.95208495	48.62650895	16.59215634	63.96488988	42.30102374	0	0	0	0	0	0	0	0	0	0	0	0	5.512340064	24.10220177	13.19922088	2.90508554
OTU_108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.14662943	0	0.157469512	0	0	0	0	0	0
OTU_11	0.164890858	0	0	0	0	0	0	0	0.318851763	0	1.165804571	0	0	1.432235702	99.08569931	198.4685247	329.2874879	21.72450053	39.60850341	66.97336074	0	0	0	0.175934599	1.024801587	0	0.367158344	0	1.725080889	0	0	0.652867752	0.591849889	0	0.555974166	0	0.239967478	0.370649444	0.854719713	0	1.90173743	7.911667092	0	0	1.07018907	1.002608432	0.276535939	0	0	0	0.159993805	0.219483693	0	0	0	0	0.262282595	5.907460359	1.732164634	0.380759307	0	0	0	0	0
OTU_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480670053	0	0	0	0	0	0	0.367158344	0	0	0	118.192505	0	0	0	0	0	0	0	0	0	0.475434357	0	0	0	0.267547268	0.250652108	0	0.329715927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.482597775	0	0.530457667	0.475434357	0.527444473	1.011753183	0.996863691	0.535094535	0.501304216	0	0.329715927	0	9.456675974	2.71989468	2.41432062	3.320700448	3.424338953	16.28695309	2.1017294	0.262282595	2.327181353	5.983841463	0.761518614	3.994024605	0.501121824	0	0	0
OTU_1117	0	0	0	0	0	0	0	0	2.550814106	8.851022664	1.554406094	0.574900288	2.219357611	0	0	0	0	0	0	0	0	0	0	0	0	0	1.101475031	2.211991435	0.431270222	0.575848373	2.244161487	0.326433876	0	0	0.555974166	0.29342423	0	0	0	0	0	0	0	0	0	0	0	0	0	1.323934636	0.319987609	0.438967386	1.223415955	0.856084738	3.257390619	0	0	0	0	0	0	0	0	0	0
OTU_1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.887774833	0	0	0	0	0	2.279252568	1.326144168	0	1.054888946	1.349004244	0.996863691	1.337736338	0.250652108	0.276535939	0.329715927	0.450010891	14.94154804	14.55943623	5.377350473	10.13687505	9.84497449	7.73630272	1.940057908	0.393423892	1.790139503	5.668902439	1.332657575	3.630931459	1.25280456	0	0	0
OTU_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.25724356	0	0.438967386	0	0.642063554	0	0.323342985	0	0	0	0.380759307	0	0	0	0	0
