Modules	H2	H3	H4	J2	J3	J4	J5	J6	L1	L2	L3	L4	L5	L6	M1	M2	M3	M4	M5	M6	N1	N2	N3	N4	N5	N6	O1	O2	O3	O4	O6	R1	R2	R3	R4	R5	R6	S1	S2	S4	S5	T1	T2	T3	T4	T5	V1	V2	V3	V4	V5	V6	Z2	Z3	Z4	Z5
Condition	Inactive	Inactive	Inactive	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Inactive	Inactive	Inactive	Inactive	Inactive	Inactive	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Active	Inactive	Inactive	Inactive	Inactive	Inactive	Active	Active	Active	Active	Active	Active	Inactive	Inactive	Inactive	Inactive
M00001_Glycolysis - EM pathway	41618.3	25640.9	40182.65	45418.93	58999.79	57699.49	43521.86	52157.81	74291.28	70609.15	32950.34	49316.35	53749.03	43968.46	38204.3	58140.8	44113.95	29487.98	30364.08	35842.37	30266.31	48295.19	35795.39	26594.78	50432.07	32739.48	51086.25	48437.59	39352.32	30578.09	42276.53	25830.84	31185.34	32773.99	19148.62	32250.14	17179.1	25498.66	37416.92	28557.77	31685.2	53928.05	48354.27	55633.6	54839.16	45275.21	47347.37	44276.04	43031.13	43447.33	41591.26	58052.57	56041.89	52422.36	50270.29	46708.46
M00002_Glycolysis - core	19214.19	14882.39	18121.02	24436.7	32359.64	33020.96	24081.17	30515.13	33121.55	30170.97	16561.93	24778.37	24596.6	24760.51	17605.41	25404.08	20683.78	14823.49	15057.25	17672.67	17948.76	21326.76	20651.94	16202.26	28471.05	18967.39	25409.33	23854.98	19799.27	15095.25	19175.55	14162.51	16115.41	15435.26	10363.12	16483.48	9790.56	12934.38	16462.51	14110.62	14652.13	23566.63	22742.92	23839.25	24977.52	21425.61	24896.16	21036.5	21420.33	22861.95	20576.09	26139.8	24348.99	24066.86	23278.86	21044.55
M00003_Gluconeogenesis	28161.89	20049.48	26739.12	22806.04	29546.33	33051.63	24070.65	35549.39	47770.1	46936.86	23075.11	33880.65	35724.87	31382.13	25172.85	38024.86	29350.51	20293.86	20813.32	24443.86	22263.9	32041.59	22515.1	18968.79	30549.47	23750.8	35350.02	32890.37	27381.44	21067.63	28606.43	19284.71	22382.56	23544.55	13830.19	23444.34	12790.85	18160.44	26237.93	19775.18	22834.12	37117.49	34389.68	38154.98	38970.22	32557.82	34002.38	31092.61	30702.07	31117.11	29706.26	40511.6	39342.44	36660.68	34718.21	32326.56
M00004_Pentose phosphate pathway	22609.86	14572.73	22049.71	25786.66	33486.64	32158.68	23492.68	29502.32	41641.41	43871.41	19301.98	32973.57	33408.14	29055.69	20444.24	32153.95	24041.2	14218.37	14891.51	17840.76	17277.93	26967.24	19880.95	13991.48	28986.34	17963.53	32563.12	29488.18	26157.75	18711.68	25890.7	15787.43	18388.17	20908	11698.59	19727.43	11013.1	14813.21	23925.13	16231.79	20004.43	31797.36	26580.24	34050.97	31203.06	25613.44	26296.77	25916.56	25304.34	23773.56	23859.56	33674.34	35443.72	31166.9	29580.93	28433.64
M00005_PRPP biosynthesis	3056.93	2390.42	2830.42	4441.77	5980.94	5617.73	4121.09	5616.1	4689.43	4572.03	2298.08	3704.77	3731.45	3914.72	2632.14	4099.25	3133.32	2029.48	2074.37	2486	2937.28	3362.87	3262.63	2327.97	5407.39	3174.86	3504.9	3202.77	2877.42	2022.45	2757.16	2201.47	2379.87	2288.93	1737.34	2387.64	1752.82	1952.63	2643.59	2244.92	2066.05	3505.04	3279.71	3646.73	3755	3124.41	4052.68	3241.25	3158.59	3591.52	3111.28	4244.07	3726.58	3385.08	3297.62	3034.65
M00006_Pentose phosphate pathway - glucose  => ribulose	4827.52	4134.62	4793.08	1620.66	1268.19	1365.64	1586.92	4883.05	8866.53	9498.76	4185.28	6848.08	7111.71	4995.57	3855.25	6121.49	4024.73	2488.46	2723.22	2974.83	3952.63	6179.66	2183.8	1885.25	3747.39	4154.71	7718.4	7105.35	5620.61	4406.91	5639.42	2656.54	3805.12	4665.36	1595.38	4272.47	1127.84	2637.75	4864.2	2939.6	4473.94	6454.52	5557.83	8066.92	6345.72	5127.62	4107.75	5079.62	5259.32	4111.45	4797.01	6929.41	7234.64	6820.71	6141.48	6166.49
M00007_Pentose phosphate pathway, non-oxidative phase	14636.27	8826.74	14087.11	19912.48	26653.61	25559.48	17909.53	20464.02	27384.38	30290.62	12947.2	22441.07	22759.68	20667.57	14159	22680.75	17289.86	9675.1	10060.09	12431.31	11096.2	16803.18	14855.19	10134.78	20930.64	11563.24	21173.99	18641.22	17695.62	12178.95	17572.8	11525.39	12661.01	14426.89	8842.71	13568.89	8759.98	10655.69	17159.47	11439.16	13905.81	21819.68	17168.53	21651.91	20598.77	17185.35	19086.15	18168.12	17357.68	16947.79	16452.64	23574.96	24901.03	19852.2	19629	19167.44
M00008_Entner-Doudoroff pathway	6190.95	4350.43	6084.22	1804.47	1680.32	1663.54	2150.97	5122.44	10108.92	11088.13	4953.2	7568.25	8265.23	5649.46	4463.35	7238.93	4794.59	2843.93	3058.77	3389.93	4028.46	7657.21	2513.25	2224.57	4061.22	4543.95	8411.3	7668.67	6088.45	4834.42	6511.89	3435.85	4683.42	5675.09	2337.26	4935.11	1872.54	3448.68	6087.46	3767.65	5186.22	7895.6	7054.73	9451.78	8305.6	6551.29	5433.37	6753.06	6469.93	5178.41	6064.57	8986.52	8539.12	7649.59	7014.01	6924.82
M00009_Citrate cycle	28269.91	19281.64	27350.03	18021.4	19183.09	23471.04	19059.7	22465.49	43245.09	39884.06	22636.15	42254.12	33237.35	38088.7	27989	37386.93	29872.38	27304.34	26912.71	30104.08	22281.13	32151.19	20383.2	18864.92	19213.07	21343.5	43680.85	42095.94	35767.69	27670.95	31370.78	20395.73	25239.72	27240.23	14819.96	27796.81	13388.21	16062.36	21608.88	18265.95	19963.46	31642.73	33875.95	36681.19	34676.42	30547.72	28833.76	28186.5	33427.42	26744.4	31082.5	35762.74	34216.64	35456.84	33376.2	32878.06
M00010_Citrate cycle - first carbon oxidation	7902.77	4780.18	7384.23	5482.91	6384.84	5882.95	4819.43	7612.03	12217.98	12537.52	5861.06	9747.96	9567.59000000001	9280.6	6916.22	10129.63	7964.14	5452.6	5506.66	6684.31	4588.65	9099.64	4858.69	3912.61	7207.24	5608.49	9587.04	8667.14	8008.7	5788.01	7694.66	4849.65	5605.34	5706.14	3551.79	5724.72	3506.5	4387.92	6615.51	5054.23	5567.15	7893.2	6615.52	9542.75000000001	7563.5	6117.48	7949.86	7214.11	7202.43	7336.58	6735.79	9141.77	8373.78000000001	7563.25	6919.2	6757.93
