Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder				
Taxonomy	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium breve 	1.01E-06	1.29E-06	5.29E-07	5.40E-07	0	0	8.47E-07	1.81E-07	2.95E-07	0	0	0	0	8.51E-07	0	4.46E-07	1.25E-07	2.74E-06				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium longum 	2.46E-06	6.26E-06	2.11E-06	8.10E-06	1.51E-06	0	0.000296807	0.000116513	0.000144832	0	0	0	2.01E-06	0	0	1.01E-05	5.38E-06	9.61E-05				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Unknown	0.000127248	0.000165019	9.81E-05	0.000137235	4.13E-05	0	0.002152771	0.001171811	0.001850047	0	0	1.92E-07	1.40E-05	0	1.59E-07	0.000159878	7.25E-05	0.001196021				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Unknown|Unknown	2.75E-06	3.88E-06	2.11E-06	4.86E-06	1.51E-06	0	2.46E-05	1.34E-05	2.73E-05	0	0	0	0	0	0	6.24E-07	3.75E-07	4.45E-06				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Unknown|Unknown|Unknown	3.76E-06	2.59E-06	1.23E-06	4.59E-06	1.01E-06	0	0.000152499	0.000105132	0.000226181	0	0	0	3.54E-07	0	0	1.87E-06	1.63E-06	2.26E-05				
Bacteria |Actinobacteria |Actinobacteria |Corynebacteriales |Mycobacteriaceae |Mycobacterium |Mycobacterium tuberculosis complex  group	0	0	0	0	0	0	1.13E-06	7.23E-07	2.36E-06	1.80E-07	0	9.60E-08	0	0	0	0	2.50E-07	0				
Bacteria |Actinobacteria |Actinobacteria |Unknown|Unknown|Unknown|Unknown	1.74E-06	3.45E-06	1.06E-06	1.08E-06	0	0	9.04E-06	2.35E-06	7.68E-06	0	0	0	5.90E-07	0	0	8.92E-08	0	6.19E-07				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. 4_8_47FAA 	0	0	0	0	0	0	0	0	0	3.60E-07	0	3.84E-07	2.36E-07	0	1.59E-07	2.68E-07	0	1.16E-07				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella tanakaei 	5.79E-07	1.29E-06	1.06E-06	0	0	0	8.47E-07	9.03E-07	5.91E-07	0	0	0	2.36E-07	0	1.27E-06	6.96E-06	7.38E-06	1.47E-06				
