Samples	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18
Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium breve 	1.14E-06	1.42E-06	5.88E-07	6.85E-07	0	0	8.95E-07	1.90E-07	3.13E-07	0	0	0	0	1.03E-06	0	5.44E-07	1.50E-07	3.21E-06
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium longum 	2.76E-06	6.87E-06	2.35E-06	1.03E-05	1.65E-06	0	0.000313664	0.000122412	0.000153371	0	0	0	2.40E-06	0	0	1.23E-05	6.45E-06	0.000112534
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Unknown	0.000142736	0.000181317	0.000109099	0.00017387	4.52E-05	0	0.002275033	0.001231145	0.001959119	0	0	2.48E-07	1.68E-05	0	1.67E-07	0.000195027	8.68E-05	0.001400473
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Unknown|Unknown	3.09E-06	4.27E-06	2.35E-06	6.16E-06	1.65E-06	0	2.60E-05	1.40E-05	2.89E-05	0	0	0	0	0	0	7.61E-07	4.50E-07	5.21E-06
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Unknown|Unknown|Unknown	4.22E-06	2.84E-06	1.37E-06	5.82E-06	1.10E-06	0	0.000161159	0.000110456	0.000239516	0	0	0	4.23E-07	0	0	2.28E-06	1.95E-06	2.65E-05
Bacteria |Actinobacteria |Actinobacteria |Corynebacteriales |Mycobacteriaceae |Mycobacterium |Mycobacterium tuberculosis complex  group	0	0	0	0	0	0	1.19E-06	7.59E-07	2.50E-06	2.23E-07	0	1.24E-07	0	0	0	0	3.00E-07	0
Bacteria |Actinobacteria |Actinobacteria |Unknown|Unknown|Unknown|Unknown	1.95E-06	3.79E-06	1.18E-06	1.37E-06	0	0	9.55E-06	2.47E-06	8.13E-06	0	0	0	7.06E-07	0	0	1.09E-07	0	7.24E-07
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella tanakaei 	6.50E-07	1.42E-06	1.18E-06	0	0	0	8.95E-07	9.49E-07	6.25E-07	0	0	0	2.82E-07	0	1.34E-06	8.48E-06	8.84E-06	1.72E-06
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Asaccharobacter |Asaccharobacter celatus* 	5.52E-06	7.35E-06	1.29E-05	0	0	0	0	0	0	0	0	0	4.94E-06	4.12E-06	0	8.70E-07	4.50E-07	1.09E-06
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Eggerthella |Eggerthella lenta 	0	0	0	0	0	0	2.98E-07	7.59E-07	1.56E-07	6.69E-07	1.61E-06	2.11E-06	8.47E-07	4.41E-07	0	3.37E-06	3.30E-06	4.03E-06
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Eggerthella |Eggerthella sp. YY7918 	0	1.19E-06	3.92E-07	0	0	0	0	0	0	2.23E-07	0	1.24E-07	5.64E-07	2.94E-07	1.67E-07	2.18E-07	0	1.77E-06
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Eggerthella |Unknown	0	0	0	0	0	0	2.98E-07	1.71E-06	7.82E-07	3.12E-06	1.07E-06	2.85E-06	8.47E-07	4.41E-07	0	1.41E-06	1.80E-06	1.36E-06
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Gordonibacter |Gordonibacter sp. An230 	1.14E-06	1.66E-06	1.76E-06	0	0	0	8.95E-07	3.04E-06	1.25E-06	1.78E-06	1.07E-06	1.12E-06	0	0	0	8.70E-07	6.00E-07	9.51E-07
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Slackia |Slackia heliotrinireducens 	1.33E-05	3.10E-05	6.86E-06	0	0	0	0	0	0	0	0	0	1.72E-05	2.65E-06	0	0	0	4.53E-08
